id,Value
0,1288.7483870827773
1,1132.4829282800597
2,1083.752092051659
3,1099.1944953938169
4,1081.235111205445
5,1047.8967785631316
6,1029.168844900471
7,672.3721729328356
8,-204.56855829741812
9,-204.56855829741812
10,-39.24505625690597
11,1142.1848811238096
12,1151.9752207730178
13,1056.0833927266874
14,1005.547239321077
15,1062.8965380417437
16,1071.9206095266982
17,1062.0192615620774
18,1087.085703087084
19,1118.6176622516286
20,1212.4588747550642
21,1216.3258946496958
22,1230.9582832077263
23,1233.108004553124
24,1158.7558741767157
25,1130.044799389653
26,1107.5274502537632
27,1061.0635931723873
28,1024.3397379134487
29,1011.5276120056785
30,1179.3489816716904
31,1155.9392889626092
32,1108.0090726720205
33,1070.1970395638791
34,1046.9618537203942
35,1047.2176569478154
36,1096.6182413650515
37,1083.7739640509508
38,1022.3540600079677
39,1112.5900187538314
40,1101.9702040310026
41,1116.36226570092
42,1089.0586416418662
43,1072.2250971639053
44,1064.315828468972
45,1084.16688393204
46,1138.1247959985876
47,1119.9747793378247
48,1129.8530387055885
49,1111.0790436538462
50,1081.2170633602589
51,1101.88106012481
52,1164.6380413221848
53,1142.4315886059885
54,1209.3460123981179
55,1155.353863312431
56,1162.6140721624365
57,1123.2176716176873
58,1104.6411653357166
59,1036.784652106916
60,1018.7998966881382
61,1027.4362572922635
62,1069.7344112556596
63,1094.2784984885964
64,923.880754364732
65,893.2919082441022
66,926.7529918971973
67,913.2593115845591
68,895.7657942006861
69,890.8951616510669
70,572.7489334390448
71,-213.26397663754494
72,-213.26397663754494
73,-69.42972249937668
74,950.4580081077833
75,965.927711805262
76,911.8475381292266
77,882.734839111352
78,906.0467290870407
79,912.9713411828083
80,910.3043149703187
81,918.9245349427299
82,938.4987818545974
83,980.1562456589343
84,981.3231839489341
85,986.1999680631443
86,989.4807232165253
87,957.9572583099067
88,940.3529769777791
89,927.5878001740263
90,896.8368665860139
91,874.863531181687
92,874.981725142445
93,960.689474099958
94,954.8434601076888
95,932.9671701917657
96,914.9840724034038
97,899.0287337060782
98,900.5370677355216
99,929.7967627055828
100,927.7270265781818
101,875.7756290244316
102,946.4807447742147
103,944.0973838574346
104,951.1051156053253
105,940.7448263620937
106,934.7537381367148
107,931.7059212315959
108,938.0917088577571
109,963.3482608003976
110,957.5048139254417
111,963.4184090346774
112,955.0278253040725
113,943.8529888383442
114,950.5149855876382
115,983.4753778821199
116,975.1845019810819
117,1001.3598428512745
118,979.3787208645858
119,978.384424512572
120,961.9139803481866
121,952.8112852276738
122,914.6576453807864
123,904.5522276738386
124,915.6108693263684
125,933.769630819075
126,654.5331066258362
127,715.3637061444412
128,811.7629655330956
129,788.8175756681057
130,779.9564703025512
131,778.6578331238888
132,787.867589845775
133,511.4199386221144
134,-176.19509660717358
135,-176.19509660717358
136,-55.28155592910218
137,792.7919243985518
138,813.8933039021043
139,802.6116116679468
140,795.439173496017
141,784.0752962886598
142,788.8173714921219
143,793.5021219484352
144,785.3887350326478
145,792.6903270019103
146,781.138223221656
147,779.5598757700575
148,774.5124679847158
149,778.9131669216783
150,791.039050618364
151,784.8294975674554
152,782.0478678046898
153,767.4637670177166
154,760.6121458512413
155,773.8316824626066
156,775.6510745769655
157,787.6488888357918
158,792.347274100974
159,794.6000622165116
160,786.1484755633652
161,788.9139839455369
162,797.5318693710439
163,806.3964542376651
164,764.4532927628477
165,814.8046361144123
166,820.7862521162491
167,820.2556292839377
168,827.1465315112199
169,832.1898170578153
170,834.0923824328879
171,826.7829592669569
172,822.7552686793499
173,829.4286047991774
174,831.2777052119294
175,833.4754578892719
176,841.32530140787
177,833.7460169531182
178,836.2510092652758
179,842.1268164044333
180,826.8127802700799
181,837.4434944805046
182,828.0928335752376
183,834.9844359518451
184,835.5540521669018
185,827.802215865081
186,825.7614175812193
187,839.1864702542562
188,832.7401634195401
189,1469.432352733857
190,1102.8257048007233
191,986.8637516132815
192,1050.5260764111847
193,1031.1068895860972
194,988.3737576884674
195,959.9826687866956
196,618.4869854369067
197,-217.24734154463135
198,-217.24734154463135
199,-55.845602308853586
200,1104.6164954219923
201,1108.0232967692684
202,988.4387476551362
203,925.9575773312753
204,1005.4678917203701
205,1015.0976776863104
206,1000.168838173164
207,1036.3098208072604
208,1074.0477564740445
209,1201.0437331457383
210,1206.7633790672658
211,1227.9978086565052
212,1228.8485150489726
213,1126.9154756741057
214,1092.359989052244
215,1064.3375538792218
216,1010.4165660277524
217,965.735867783868
218,943.2600802530926
219,1160.455475344599
220,1124.7526320380393
221,1060.4186792227138
222,1010.3072313836498
223,983.8541385764048
224,982.9661748199055
225,1043.3344657299808
226,1022.7384872915529
227,961.4616303894894
228,1056.4602214950955
229,1040.0258739524932
230,1058.9551409501942
231,1020.4474895098444
232,996.3556005900185
233,985.2420587898671
234,1014.2535702252828
235,1086.1214995234443
236,1059.600285720169
237,1071.6161452538265
238,1046.2591909379003
239,1004.0051398019939
240,1034.1917266316825
241,1114.6070807343135
242,1083.168500150925
243,1176.8467738345805
244,1102.020861175651
245,1115.5776694138244
246,1061.3613204904873
247,1036.979298878539
248,952.2548175295946
249,929.7932900293699
250,935.0881776143318
251,992.877391844094
